"","pgovwin","govpoints","benchcalls"
"1",1,2.5,1
"2",0.999,2.47295,0.9536
"3",0.998,2.4588,0.9337
"4",0.997,2.4444,0.9124
"5",0.996,2.4391,0.9009
"6",0.995,2.43285,0.8931
"7",0.994,2.4275,0.887
"8",0.993,2.4187,0.8736
"9",0.992,2.4126,0.8638
"10",0.991,2.40595,0.8581
"11",0.99,2.3975,0.8444
"12",0.989,2.3971,0.8433
"13",0.988,2.39095,0.8383
"14",0.987,2.3845,0.8263
"15",0.986,2.3801,0.8209
"16",0.985,2.37425,0.8127
"17",0.984,2.37355,0.8131
"18",0.983,2.3682,0.811
"19",0.982,2.36035,0.7972
"20",0.981,2.35585,0.7931
"21",0.98,2.3551,0.7923
"22",0.979,2.3533,0.792
"23",0.978,2.3486,0.7875
"24",0.977,2.34215,0.7778
"25",0.976,2.33375,0.7695
"26",0.975,2.3389,0.7713
"27",0.974,2.32885,0.7651
"28",0.973,2.32335,0.7562
"29",0.972,2.3284,0.7607
"30",0.971,2.31965,0.754
"31",0.97,2.32015,0.751
"32",0.969,2.3124,0.7453
"33",0.968,2.3112,0.7446
"34",0.967,2.30185,0.7295
"35",0.966,2.3041,0.737
"36",0.965,2.2978,0.7245
"37",0.964,2.29845,0.7266
"38",0.963,2.29155,0.7211
"39",0.962,2.29195,0.7205
"40",0.961,2.28545,0.7126
"41",0.96,2.27915,0.7076
"42",0.959,2.28165,0.7076
"43",0.958,2.2798,0.71
"44",0.957,2.28325,0.709
"45",0.956,2.27625,0.7083
"46",0.955,2.26125,0.6891
"47",0.954,2.2718,0.7068
"48",0.953,2.2607,0.693
"49",0.952,2.25975,0.6869
"50",0.951,2.25895,0.6889
"51",0.95,2.2521,0.6802
"52",0.949,2.2478,0.6752
"53",0.948,2.24545,0.672
"54",0.947,2.25035,0.6782
"55",0.946,2.25075,0.6743
"56",0.945,2.24085,0.6652
"57",0.944,2.2423,0.6725
"58",0.943,2.2349,0.6637
"59",0.942,2.23425,0.6639
"60",0.941,2.2253,0.6511
"61",0.94,2.22655,0.6549
"62",0.939,2.21765,0.6477
"63",0.938,2.2169,0.6461
"64",0.937,2.22255,0.6561
